DATE,RRSFS
2007-03-01,178850
2007-04-01,177844
2007-05-01,179408
2007-06-01,177651
2007-07-01,178039
2007-08-01,178824
2007-09-01,178794
2007-10-01,179401
2007-11-01,179696
2007-12-01,177019
2008-01-01,176853
2008-02-01,174826
2008-03-01,174630
2008-04-01,174146
2008-05-01,174731
2008-06-01,173112
2008-07-01,171238
2008-08-01,170234
2008-09-01,167550
2008-10-01,162654
2008-11-01,159205
2008-12-01,157093
2009-01-01,158979
2009-02-01,157766
2009-03-01,155179
2009-04-01,155777
2009-05-01,156911
2009-06-01,158240
2009-07-01,158582
2009-08-01,160908
2009-09-01,156817
2009-10-01,157801
2009-11-01,158527
2009-12-01,159226
2010-01-01,159070.0
2010-02-01,159653.0
2010-03-01,163043.0
2010-04-01,164379.0
2010-05-01,163054.0
2010-06-01,162875.0
2010-07-01,162986.0
2010-08-01,163732.0
2010-09-01,164684.0
2010-10-01,165882.0
2010-11-01,167337.0
2010-12-01,167429.0
2011-01-01,168209.0
2011-02-01,169038.0
2011-03-01,169733.0
2011-04-01,169799.0
2011-05-01,169192.0
2011-06-01,170431.0
2011-07-01,169875.0
2011-08-01,169835.0
2011-09-01,171012.0
2011-10-01,172034.0
2011-11-01,172357.0
2011-12-01,172345.0
2012-01-01,173682.0
2012-02-01,175330.0
2012-03-01,175546.0
2012-04-01,174623.0
2012-05-01,174599.0
2012-06-01,173104.0
2012-07-01,173921.0
2012-08-01,174915.0
2012-09-01,175554.0
2012-10-01,175144.0
2012-11-01,176172.0
2012-12-01,176898.0
2013-01-01,177899.0
2013-02-01,179087.0
2013-03-01,178271.0
2013-04-01,177844.0
2013-05-01,178664.0
2013-06-01,178856.0
2013-07-01,179736.0
2013-08-01,178896.0
2013-09-01,178917.0
2013-10-01,179570.0
2013-11-01,179692.0
2013-12-01,180370.0
2014-01-01,178057.0
2014-02-01,180433.0
2014-03-01,182037.0
2014-04-01,183461.0
2014-05-01,183456.0
2014-06-01,183710.0
2014-07-01,183767.0
2014-08-01,185160.0
2014-09-01,184793.0
2014-10-01,185387.0
2014-11-01,186315.0
2014-12-01,185851.0
2015-01-01,185937.0
2015-02-01,185197.0
2015-03-01,187514.0
2015-04-01,187576.0
2015-05-01,188408.0
2015-06-01,188231.0
2015-07-01,189196.0
2015-08-01,189268.0
2015-09-01,188901.0
2015-10-01,188136.0
2015-11-01,188693.0
2015-12-01,189599.0
2016-01-01,188424.0
2016-02-01,190591.0
2016-03-01,189361.0
2016-04-01,189308.0
2016-05-01,189701.0
2016-06-01,191095.0
2016-07-01,190778.0
2016-08-01,190721.0
2016-09-01,191281.0
2016-10-01,191432.0
2016-11-01,191057.0
2016-12-01,192906.0
2017-01-01,194354.0
2017-02-01,193952.0
2017-03-01,193628.0
2017-04-01,194193.0
2017-05-01,193392.0
2017-06-01,193994.0
2017-07-01,194023.0
2017-08-01,193594.0
2017-09-01,196464.0
2017-10-01,196653.0
2017-11-01,198080.0
2017-12-01,198760.0
2018-01-01,197608.0
2018-02-01,198058.0
2018-03-01,197731.0
2018-04-01,197792.0
2018-05-01,199660.0
2018-06-01,198936.0
2018-07-01,200108.0
2018-08-01,199381.0
2018-09-01,198412.0
2018-10-01,200084.0
2018-11-01,200526.0
2018-12-01,196676.0
2019-01-01,199145.0
2019-02-01,198691.0
2019-03-01,200797.0
2019-04-01,200656.0
2019-05-01,201225.0
2019-06-01,201983.0
2019-07-01,202968.0
2019-08-01,203747.0
2019-09-01,202160.0
2019-10-01,202463.0
2019-11-01,202646.0
2019-12-01,202888.0
2020-01-01,203694.0
2020-02-01,203153.0
2020-03-01,186212.0
2020-04-01,159966.0
2020-05-01,189221.0
2020-06-01,204701.0
2020-07-01,206607.0
2020-08-01,207562.0
2020-09-01,211236.0
2020-10-01,211178.0
2020-11-01,207944.0
2020-12-01,204914.0
2021-01-01,219831.0
2021-02-01,212786.0
2021-03-01,235323.0
2021-04-01,235636.0
2021-05-01,230101.0
2021-06-01,229293.0
